"OriginalProjectPath","RelativePath","Length","CreationTimeUtc","LastWriteTimeUtc","LastAccessTimeUtc","Attributes","Sha256","ArchiveAction","ArchiveReason","ArchiveRelativePath"
"Assembler","Autos sort\Здесь бинарная сортировка на GASM.txt","0","2021-12-06T15:43:46.5271197Z","2021-12-06T15:43:46.0000000Z","2026-07-14T07:11:26.4491650Z","533536","e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855","copied","tracked-original-file","projects\Assembler\Autos sort\Здесь бинарная сортировка на GASM.txt"
"Assembler","Autos sort\Комманды для конвертации Си в Ассемблер.txt","456","2021-12-21T00:49:54.9305563Z","2021-12-21T00:50:05.0000000Z","2026-07-14T07:11:26.4580567Z","533536","a47b4a0d2d8cb88d56b2dc15120dd45fc325dc30485ad79360399d9a4d8ad0b8","copied","tracked-original-file","projects\Assembler\Autos sort\Комманды для конвертации Си в Ассемблер.txt"
"Assembler","Autos sort\Backup\data.h","2220","2021-11-28T20:58:28.0000000Z","2021-11-28T20:58:28.0000000Z","2026-07-14T07:11:26.4709469Z","533536","e4b16e7e03ebdf0a7e61f69f66fef491683c1db5f85348b61c7e38dac064a9e2","copied","tracked-original-file","projects\Assembler\Autos sort\Backup\data.h"
"Assembler","Autos sort\Backup\extdata.h","2621","2021-11-28T17:05:36.0000000Z","2021-11-28T17:05:36.0000000Z","2026-07-14T07:11:26.4829673Z","533536","0ffa0410ab9a3b99592c0e1203be656bdac14fa66b597f4312ad5d994dbd22a7","copied","tracked-original-file","projects\Assembler\Autos sort\Backup\extdata.h"
"Assembler","Autos sort\Backup\input.c","1592","2021-11-28T17:05:36.0000000Z","2021-11-28T17:05:36.0000000Z","2026-07-14T07:11:26.4939707Z","533536","97953cdd6af17d69a853e903459a30dffcb22d9d3a93e3b57ed12089cbae488d","copied","tracked-original-file","projects\Assembler\Autos sort\Backup\input.c"
"Assembler","Autos sort\Backup\inrnd.c","2148","2021-11-28T17:05:36.0000000Z","2021-11-28T17:05:36.0000000Z","2026-07-14T07:11:26.5056616Z","533536","95607d66656d83fb48df3500dae9b0c00160519d53cdfc52c69172bc94eae57b","copied","tracked-original-file","projects\Assembler\Autos sort\Backup\inrnd.c"
"Assembler","Autos sort\Backup\main.asm","27340","2021-11-28T22:27:34.0000000Z","2021-11-28T22:27:34.0000000Z","2026-07-14T07:11:26.5168956Z","533536","629fdc1ba4d2b270bc8edfd6215f515168fca8e067c20db84211df903ec1c772","copied","tracked-original-file","projects\Assembler\Autos sort\Backup\main.asm"
"Assembler","Autos sort\Backup\main.c","6086","2021-11-28T22:41:08.0000000Z","2021-11-28T22:41:08.0000000Z","2026-07-14T07:11:26.5286020Z","533536","c7b9e116ef97834a20bd3e5e86d36c2affbad88587bf3a286593daa484c887a5","copied","tracked-original-file","projects\Assembler\Autos sort\Backup\main.c"
"Assembler","Autos sort\Backup\main.o","4240","2021-11-28T22:27:30.0000000Z","2021-11-28T22:27:30.0000000Z","2026-07-14T07:11:26.5413881Z","533536","027f746f882a6e1b4568fd35029a9b1f570bf789d0a8c76041aee891f386bc45","manifest-only","generated-file:.o",""
"Assembler","Autos sort\Backup\makefile","232","2021-11-28T17:05:36.0000000Z","2021-11-28T17:05:36.0000000Z","2026-07-14T07:11:26.5433863Z","533536","ecad21360297cb98d6769404cb23f95c11933fc0ea2f027e0e815ab99da3e12a","copied","tracked-original-file","projects\Assembler\Autos sort\Backup\makefile"
"Assembler","Autos sort\Backup\objconv","811936","2021-11-28T21:56:26.0000000Z","2021-11-28T21:56:26.0000000Z","2026-07-14T07:11:26.5552360Z","533536","06ce5f140f41a1e7de54fbc6a3204d9f6122ed9fc86731dd5e3a2c2129870f08","copied","tracked-original-file","projects\Assembler\Autos sort\Backup\objconv"
"Assembler","Autos sort\Backup\out.txt","397","2021-11-28T17:05:36.0000000Z","2021-11-28T17:05:36.0000000Z","2026-07-14T07:11:26.5687981Z","533536","f699e0974aa8fbd28c1fb159079f02150124fb5e688060ba5c272c870534af68","copied","tracked-original-file","projects\Assembler\Autos sort\Backup\out.txt"
"Assembler","Autos sort\Backup\output.c","1789","2021-11-28T17:05:36.0000000Z","2021-11-28T17:05:36.0000000Z","2026-07-14T07:11:26.5782888Z","533536","057ab0f8cf355a63d89fcd85ccf3ac836281aa5a1d3572f33f139f248d8acd8d","copied","tracked-original-file","projects\Assembler\Autos sort\Backup\output.c"
"Assembler","Autos sort\Backup\perimeter.asm","13806","2021-11-28T22:42:12.0000000Z","2021-11-28T22:42:12.0000000Z","2026-07-14T07:11:26.5882882Z","533536","ffb73d23d288af0689fe305821e8988e6f25cdbabc3cfe8c3a917775fa298e7e","copied","tracked-original-file","projects\Assembler\Autos sort\Backup\perimeter.asm"
"Assembler","Autos sort\Backup\perimeter.lst","25807","2021-11-28T22:42:12.0000000Z","2021-11-28T22:42:12.0000000Z","2026-07-14T07:11:26.5987343Z","533536","e27f7a8663cb9ab0467762c90695af3cccb7bde0f642ed837ecb81c955fb1c40","copied","tracked-original-file","projects\Assembler\Autos sort\Backup\perimeter.lst"
"Assembler","Autos sort\Backup\perimeter.o","4016","2021-11-28T22:42:12.0000000Z","2021-11-28T22:42:12.0000000Z","2026-07-14T07:11:26.6081839Z","533536","eb6ad0ae4fb7e616fb54ddc8d02a7bb564680b7734117ee79dc262da9dec09e5","manifest-only","generated-file:.o",""
"Assembler","Autos sort\Backup\sorts.c","1906","2021-11-28T21:30:28.0000000Z","2021-11-28T21:30:28.0000000Z","2026-07-14T07:11:26.6097807Z","533536","32d0e3142f3ea64c7968037c6f19e35d15425c685231546540622f13f4b9ceed","copied","tracked-original-file","projects\Assembler\Autos sort\Backup\sorts.c"
"Assembler","Autos sort\Backup\sorts.s","4420","2021-11-28T21:30:30.0000000Z","2021-11-28T21:30:30.0000000Z","2026-07-14T07:11:26.6184998Z","533536","0d6222c4442d41c8983bc2c0bceeff0ad07ed66ca3629fa87bddc8c8ec5c1737","copied","tracked-original-file","projects\Assembler\Autos sort\Backup\sorts.s"
"Assembler","Autos sort\Backup\task","28696","2021-11-28T22:42:12.0000000Z","2021-11-28T22:42:12.0000000Z","2026-07-14T07:11:26.6285003Z","533536","9b046e1f3a00f6bfef7b756351689a5e0f54c72f90f985e9765efcc66157c05e","copied","tracked-original-file","projects\Assembler\Autos sort\Backup\task"
"Assembler","Autos sort\Backup\test01.txt","80","2021-11-28T17:05:36.0000000Z","2021-11-28T17:05:36.0000000Z","2026-07-14T07:11:26.6389306Z","533536","5339b340bccbe9ffdb3269a2bc093ef749a7cec14f4030f233771224c6bea4fa","copied","tracked-original-file","projects\Assembler\Autos sort\Backup\test01.txt"
"Assembler","Autos sort\data.h","2220","2021-11-28T20:58:28.0000000Z","2021-11-28T20:58:28.0000000Z","2026-07-14T07:11:26.6479591Z","533536","e4b16e7e03ebdf0a7e61f69f66fef491683c1db5f85348b61c7e38dac064a9e2","copied","tracked-original-file","projects\Assembler\Autos sort\data.h"
"Assembler","Autos sort\extdata.h","2621","2021-11-28T17:05:36.0000000Z","2021-11-28T17:05:36.0000000Z","2026-07-14T07:11:26.6602807Z","533536","0ffa0410ab9a3b99592c0e1203be656bdac14fa66b597f4312ad5d994dbd22a7","copied","tracked-original-file","projects\Assembler\Autos sort\extdata.h"
"Assembler","Autos sort\input.c","1592","2021-11-28T17:05:36.0000000Z","2021-11-28T17:05:36.0000000Z","2026-07-14T07:11:26.6696695Z","533536","97953cdd6af17d69a853e903459a30dffcb22d9d3a93e3b57ed12089cbae488d","copied","tracked-original-file","projects\Assembler\Autos sort\input.c"
"Assembler","Autos sort\inrnd.c","2148","2021-11-28T17:05:36.0000000Z","2021-11-28T17:05:36.0000000Z","2026-07-14T07:11:26.6798086Z","533536","95607d66656d83fb48df3500dae9b0c00160519d53cdfc52c69172bc94eae57b","copied","tracked-original-file","projects\Assembler\Autos sort\inrnd.c"
"Assembler","Autos sort\main.asm","27340","2021-11-28T22:27:34.0000000Z","2021-11-28T22:27:34.0000000Z","2026-07-14T07:11:26.6891450Z","533536","629fdc1ba4d2b270bc8edfd6215f515168fca8e067c20db84211df903ec1c772","copied","tracked-original-file","projects\Assembler\Autos sort\main.asm"
"Assembler","Autos sort\main.c","2787","2021-11-28T23:05:54.0000000Z","2021-11-28T23:05:54.0000000Z","2026-07-14T07:11:26.6999272Z","533536","e13b35ae0bd347b92a35bb5e0b07d74e2a69e8ba2b2cdd5ccf97f9d5280dfb2c","copied","tracked-original-file","projects\Assembler\Autos sort\main.c"
