"EntryPath","ExtractedRelativePath","Length","CompressedLength","LastWriteTimeUtc","Sha256"
"FileFinder/.vscode/configurationCache.log","FileFinder\.vscode\configurationCache.log","1582","432","2022-02-19T17:02:44.0000000Z","78504fae7bb4222d5e8517f8347bb8a038c5f31269aac2e514e1b6a8928f1510"
"FileFinder/.vscode/dryrun.log","FileFinder\.vscode\dryrun.log","1025","463","2022-02-19T17:02:44.0000000Z","a98f9652d46a622672b6ebe7b1f3853a19fd53e19079429da680ed850ac6e84e"
"FileFinder/.vscode/launch.json","FileFinder\.vscode\launch.json","1525","762","2022-02-19T17:02:44.0000000Z","dc4d4db5d6d7e1a887e36e3b5be6f249f7455a4d881ff346bcf1a16da9817ca1"
"FileFinder/.vscode/settings.json","FileFinder\.vscode\settings.json","165","91","2022-02-19T17:02:42.0000000Z","2dfe0c973aa19bed69cec50b1a66ead193975f441ba0906f0446a73e3d0dd86e"
"FileFinder/.vscode/targets.log","FileFinder\.vscode\targets.log","10016","3896","2022-02-19T17:02:46.0000000Z","7ec35845cc0c39081cd8fd1c123210cb60627afd8bc46ba3119605bbad3e8755"
"FileFinder/.vscode/tasks.json","FileFinder\.vscode\tasks.json","766","345","2022-02-19T17:02:44.0000000Z","c73a1dcd7013d2c540dba4cbb4e2819bbac0f15a7f6e3610e4e71172c8357dc0"
"FileFinder/Backup/lab1kakN3250_Backup.c","FileFinder\Backup\lab1kakN3250_Backup.c","15942","4020","2022-02-19T17:02:48.0000000Z","b0ff344950c0fa793f1dbf3eee1182d911e87f9e59ff3d87d57d00d104e14e04"
"FileFinder/Backup/main.c","FileFinder\Backup\main.c","25681","4777","2022-02-19T17:02:48.0000000Z","5945c2e7a57cd910113edc973e333a37546a9ad407545baf212f163bd60be678"
"FileFinder/File Finder.zip","FileFinder\File Finder.zip","97819","97819","2022-03-07T18:45:46.0000000Z","3b905657d36fac99f34ba1bc44bc6304ee945bfd4653cc8ec03881139d32f6aa"
"FileFinder/lab1call","FileFinder\lab1call","16952","4622","2022-02-19T17:02:40.0000000Z","9486026473b83de63d46efd093049139044ddd86a37f54d086965634f8a6c350"
"FileFinder/lab1call.c","FileFinder\lab1call.c","6549","2026","2022-02-19T17:02:38.0000000Z","e0cfbde3e910add0a102f1159ab0431126409dc924dac88d23bc1665107ba17a"
"FileFinder/lab1kakN3250","FileFinder\lab1kakN3250","26208","8447","2022-02-19T17:02:36.0000000Z","6359eab64fc777afe28d5ce0a11fb63f62be6970bdb8de9454cf3d60b126a717"
