"OriginalProjectPath","RelativePath","Length","CreationTimeUtc","LastWriteTimeUtc","LastAccessTimeUtc","Attributes","Sha256","ArchiveAction","ArchiveReason","ArchiveRelativePath","ModuleAction","ModuleReason","ModuleRelativePath"
"C++","Код C++\MemoryManager\.vs\MemoryManager\v14\.suo","34304","2021-03-15T17:17:07.2413409Z","2016-11-09T19:28:26.0000000Z","2026-07-14T07:12:52.3864259Z","533536","812c02eeda516969a1412f74a5cc3665a5ea0428ce45199a0417f35d68779164","manifest-only","generated-file:.suo","","metadata-only","generated-ide-or-build-artifact",""
"C++","Код C++\MemoryManager\Debug\MemoryManager.exe","37888","2021-03-15T17:17:07.2223941Z","2016-11-09T11:03:51.0000000Z","2026-07-14T07:12:52.3884258Z","533536","8fe84c64de4b6731486c3a48b2a8ba08e29358885a7be1cee422d0d46a295a94","manifest-only","executable-deliverable-held-local","","metadata-only","generated-ide-or-build-artifact",""
"C++","Код C++\MemoryManager\Debug\MemoryManager.ilk","288644","2021-03-15T17:17:07.2273788Z","2016-11-09T11:03:51.0000000Z","2026-07-14T07:12:52.3984246Z","533536","4c0d84bd6bec7d7668238521cf03ab18a71c8241044315141e9cf83d4932411b","manifest-only","generated-file:.ilk","","metadata-only","generated-ide-or-build-artifact",""
"C++","Код C++\MemoryManager\Debug\MemoryManager.pdb","544768","2021-03-15T17:17:07.2253822Z","2016-11-09T11:03:51.0000000Z","2026-07-14T07:12:52.4004253Z","533536","ef22fad25464b5b0f18d3dc59c691511c78a588fb728c70ad197647a441dcc11","manifest-only","generated-file:.pdb","","metadata-only","generated-ide-or-build-artifact",""
"C++","Код C++\MemoryManager\MemoryManager.sln","1321","2021-03-15T17:17:07.2174055Z","2016-11-09T10:55:44.0000000Z","2026-07-14T07:12:52.4044232Z","533536","6b04d22a3ba05f04ec1a7ddf22466cca76aaf981c660b9d5fdfe1834537b9556","copied","tracked-original-file","projects\C++\Код C++\MemoryManager\MemoryManager.sln","included-exact","historical-source-or-project-file","legacy\C++\Код C++\MemoryManager\MemoryManager.sln"
"C++","Код C++\MemoryManager\MemoryManager.VC.db","2490368","2021-03-15T17:17:07.2293714Z","2016-11-09T19:28:26.0000000Z","2026-07-14T07:12:52.4134232Z","533536","ccbefef8c194b5fba664e075a652b3818bd623e8ccd6ade8123a1354505f651c","manifest-only","sensitive-or-history-binary-held-local","","metadata-only","generated-ide-or-build-artifact",""
"C++","Код C++\MemoryManager\MemoryManager\Debug\Main.obj","6931","2021-03-15T17:17:07.3670033Z","2016-11-09T11:03:51.0000000Z","2026-07-14T07:12:52.4254244Z","533536","35a6921c077cc118ebaf680c215cebf864547518b91138228805a262543f7e72","manifest-only","generated-file:.obj","","metadata-only","generated-ide-or-build-artifact",""
"C++","Код C++\MemoryManager\MemoryManager\Debug\MemoryManager.log","3240","2021-03-15T17:17:07.3650089Z","2016-11-09T16:22:27.0000000Z","2026-07-14T07:12:52.4274241Z","533536","31185bba006274691ea0836159fd043fb69ad3dea335ed71099c8ef3817daa62","manifest-only","generated-file:.log","","metadata-only","generated-ide-or-build-artifact",""
"C++","Код C++\MemoryManager\MemoryManager\Debug\MemoryManager.tlog\CL.command.1.tlog","810","2021-03-15T17:17:07.3869500Z","2016-11-09T16:22:27.0000000Z","2026-07-14T07:12:52.4284235Z","533536","41d65e69f3557157063c62afeb520265e00f163ad7d5487019faa134859d7cb9","manifest-only","generated-file:.tlog","","metadata-only","generated-ide-or-build-artifact",""
"C++","Код C++\MemoryManager\MemoryManager\Debug\MemoryManager.tlog\CL.read.1.tlog","2982","2021-03-15T17:17:07.3899444Z","2016-11-09T16:22:27.0000000Z","2026-07-14T07:12:52.4304239Z","533536","9c7d92b9eb8f83073a3003e104042b64de1012155607cec95105241878bcd0ae","manifest-only","generated-file:.tlog","","metadata-only","generated-ide-or-build-artifact",""
