"OriginalProjectPath","RelativePath","Length","CreationTimeUtc","LastWriteTimeUtc","LastAccessTimeUtc","Attributes","Sha256","ArchiveAction","ArchiveReason","ArchiveRelativePath","ModuleAction","ModuleReason","ModuleRelativePath"
"Архив\Lab 5",".vs\Lab 5\v14\.suo","34304","2021-03-15T17:17:27.9614066Z","2016-04-12T08:57:47.0000000Z","2022-02-07T00:17:37.0000000Z","533536","c0fb1a74798e72e6a3b006b0d8206b8c1ac88833220a7665854f4ca68b3f6ccc","manifest-only","generated-file:.suo","","metadata-only","generated-or-ide-state",""
"Архив\Lab 5","Debug\Lab 5.exe","36352","2021-03-15T17:17:27.8975774Z","2016-04-12T08:55:35.0000000Z","2022-02-07T00:17:40.0000000Z","533536","bbf7a4a27891244dc42f8d3e6703cf3b1c373df6d9dac027fcd3511ed4e9b79f","copied","preserved-deliverable","projects\Архив\Lab 5\Debug\Lab 5.exe","archive-repository-only","compiled-deliverable-kept-in-private-archive",""
"Архив\Lab 5","Debug\Lab 5.ilk","381936","2021-03-15T17:17:27.9005692Z","2016-04-12T08:55:35.0000000Z","2022-02-07T00:17:40.0000000Z","533536","2d668299e6e8ab27d268fb5d501d6f8c75ab06ec80a676f30b4aad8b88c0d802","manifest-only","generated-file:.ilk","","metadata-only","generated-or-ide-state",""
"Архив\Lab 5","Debug\Lab 5.pdb","659456","2021-03-15T17:17:27.8995729Z","2016-04-12T08:55:35.0000000Z","2022-02-07T00:17:40.0000000Z","533536","10d9cacf1dd41ed26e42fc2a1ed83f25d098a024377a95f6f4cfb7bd9d570ccf","manifest-only","generated-file:.pdb","","metadata-only","generated-or-ide-state",""
"Архив\Lab 5","Lab 5.sdf","3080192","2021-03-15T17:17:27.8945860Z","2016-04-12T08:57:47.0000000Z","2022-02-07T00:17:40.0000000Z","533536","e7b6a84c81df779057c370b99a1e4df5b4cc083efbba63a7227070c41f8da280","manifest-only","generated-file:.sdf","","metadata-only","generated-or-ide-state",""
"Архив\Lab 5","Lab 5.sln","1297","2021-03-15T17:17:27.8925907Z","2016-04-12T07:21:04.0000000Z","2022-02-07T00:17:40.0000000Z","533536","4b004912bc35429944bf3a6811b6f5c7330e218b1af81e8fa5aeb4086aa2fe33","copied","tracked-original-file","projects\Архив\Lab 5\Lab 5.sln","included-exact","source-project-history","legacy\Lab 5\Lab 5.sln"
"Архив\Lab 5","Lab 5\Debug\Lab 5.log","367","2021-03-15T17:17:27.9752207Z","2016-04-12T08:55:35.0000000Z","2022-02-07T00:17:40.0000000Z","533536","5902a59bd8de60a2bd5c490faaf2c20d596ef7ee1668ccff512c9569e7d51c54","manifest-only","generated-file:.log","","metadata-only","generated-or-ide-state",""
"Архив\Lab 5","Lab 5\Debug\Lab 5.tlog\CL.command.1.tlog","738","2021-03-15T17:17:27.9911763Z","2016-04-12T08:55:34.0000000Z","2022-02-07T00:17:37.0000000Z","533536","f6518b26a7afcb4d92118e403df11e8b6486b960ce1fd47ec68e56a8e3f29073","manifest-only","generated-file:.tlog","","metadata-only","generated-or-ide-state",""
"Архив\Lab 5","Lab 5\Debug\Lab 5.tlog\CL.read.1.tlog","3110","2021-03-15T17:17:27.9891837Z","2016-04-12T08:55:34.0000000Z","2022-02-07T00:17:37.0000000Z","533536","90df1f7609ad7faac2ad598ecaef01a3339a68dfb498e6565f38d57146d22fa2","manifest-only","generated-file:.tlog","","metadata-only","generated-or-ide-state",""
"Архив\Lab 5","Lab 5\Debug\Lab 5.tlog\CL.write.1.tlog","648","2021-03-15T17:17:27.9881842Z","2016-04-12T08:55:34.0000000Z","2022-02-07T00:17:37.0000000Z","533536","d72f85fa15a40bbf93975e714b03a0347dcd466b87e1eae9d80291bf53173e00","manifest-only","generated-file:.tlog","","metadata-only","generated-or-ide-state",""
"Архив\Lab 5","Lab 5\Debug\Lab 5.tlog\Lab 5.lastbuildstate","248","2021-03-15T17:17:27.9841961Z","2016-04-12T08:55:35.0000000Z","2022-02-07T00:17:37.0000000Z","533536","fda5303d02a5b3ccf7d5d83a797b48a9ea7801b7473adf6b7a95064ca9a383ed","manifest-only","generated-file:.lastbuildstate","","metadata-only","generated-or-ide-state",""
"Архив\Lab 5","Lab 5\Debug\Lab 5.tlog\link.command.1.tlog","1322","2021-03-15T17:17:27.9861907Z","2016-04-12T08:55:35.0000000Z","2022-02-07T00:17:37.0000000Z","533536","facdfc941472a92de9ee22240b9b6b27031fbf392e8c9949eb8e651c2637d022","manifest-only","generated-file:.tlog","","metadata-only","generated-or-ide-state",""
"Архив\Lab 5","Lab 5\Debug\Lab 5.tlog\link.read.1.tlog","2812","2021-03-15T17:17:27.9822001Z","2016-04-12T08:55:35.0000000Z","2022-02-07T00:17:37.0000000Z","533536","694f781851c090f04cc0e772b1d7a2d60c38e91ddbd48ec156c6d99e508049f7","manifest-only","generated-file:.tlog","","metadata-only","generated-or-ide-state",""
"Архив\Lab 5","Lab 5\Debug\Lab 5.tlog\link.write.1.tlog","626","2021-03-15T17:17:27.9802073Z","2016-04-12T08:55:35.0000000Z","2022-02-07T00:17:37.0000000Z","533536","74e664eaa82282c6ab6b7b7b4427296515b3197b8fc812859321bae346154ba8","manifest-only","generated-file:.tlog","","metadata-only","generated-or-ide-state",""
